"Face","Mean_Theta_Drug","Mean_Theta_NoDrug"
"V1",-2.33314430945998,-1.64904964039263
"V2",-2.49586505194042,-1.33056127364667
"V3",-2.27724346575412,-1.24770281208357
"V4",-1.90134583150276,-1.23712275701223
"V5",-2.39159965380991,-0.982085693042862
"V6",-2.40828680101374,-0.753832114168782
"V7",-2.28171396984496,-0.741183795645564
"V8",-2.11978691589203,-0.698259718924091
"V9",-2.03098055131406,-1.05840326930572
"V10",-2.29443910545156,-0.891536878697415
"V11",-2.07767802359194,-0.880961750972682
"V12",-2.08121810662688,-0.695169606837012
"V13",-1.91360883567424,-1.14594217340756
"V14",-2.01577675511802,-0.792333568154729
"V15",-2.00387006475198,-1.01142587512795
"V16",-1.91282508077086,-1.12634062714356
"V17",-2.48935708425652,-0.680353333294525
"V18",-2.47674869001038,-0.670864081009577
"V19",-2.45208594134228,-0.59053306827137
"V20",-2.2892780075567,-0.522054264530865
"V21",-2.43956957789359,-0.617770583268546
"V22",-2.50929764737813,-0.61761289874133
"V23",-2.45513965262415,-0.542570348671131
"V24",-2.39327311147259,-0.494180106980837
"V25",-2.33051558186903,-0.416072582918587
"V26",-2.43511780836589,-0.565903111217884
"V27",-2.33723966111284,-0.518816308125626
"V28",-2.35580501404226,-0.421761174712865
"V29",-2.24269780049385,-0.447645464730066
"V30",-2.28402167686622,-0.423642534241836
"V31",-2.26537942314926,-0.346150882357435
"V32",-2.20203179602174,-0.407569835491225
"V33",-1.97890342848274,-1.118674901935
"V34",-2.06450488489039,-0.708924877526837
"V35",-1.97685278857221,-0.803025901432794
"V36",-2.06218523659381,-0.747014336095013
"V37",-2.13914620670051,-0.574087177600087
"V38",-2.38467446986006,-0.598074996295667
"V39",-2.24814198413022,-0.579064074312046
"V40",-2.26619435868541,-0.483439127604524
"V41",-2.12581596451901,-0.710919536590822
"V42",-2.03271947036326,-0.682559565138163
"V43",-2.15217557672862,-0.569738709874968
"V44",-2.1762414766549,-0.550150400945671
"V45",-2.15772532262723,-0.558488394252464
"V46",-2.22125182313969,-0.406488035427219
"V47",-2.16148359956844,-0.527492778268362
"V48",-2.18080327631863,-0.384247407404443
"V49",-1.90299757633583,-1.16367103615138
"V50",-2.04575626779602,-0.983507846397301
"V51",-1.99157763028465,-1.14972524882837
"V52",-1.90297966254456,-1.33375349208681
"V53",-2.10503613072786,-0.736452756354412
"V54",-2.16782244222089,-0.544758242116246
"V55",-2.1509271466835,-0.566674086266196
"V56",-2.12627315424111,-0.73207037362607
"V57",-1.95047627379521,-1.30385693058647
"V58",-2.07446006165598,-0.824548445539809
"V59",-1.99758661716461,-1.05712505902373
"V60",-2.0311811636692,-0.871106393636705
"V61",-1.8556628707304,-1.37116852989439
"V62",-1.95824787224778,-1.06997155710209
"V63",-1.888528418383,-1.25426998871402
"V64",-1.77463038613645,-1.30785503846002
"V65",-2.55537793711306,-0.60617858431467
"V66",-2.39148816621165,-0.606373862308746
"V67",-2.30406510702905,-0.585543688696653
"V68",-2.3184893929384,-0.515077040672508
"V69",-2.28384920434406,-0.625656237642498
"V70",-2.12449043622832,-0.644680993514797
"V71",-2.20905337866064,-0.648482784966391
"V72",-2.16809462896617,-0.566759282020476
"V73",-2.19922483249238,-0.522484333248054
"V74",-2.22424569595462,-0.608641431463282
"V75",-2.18457620348688,-0.536914059513631
"V76",-2.12744058166982,-0.564155169581275
"V77",-2.25131335541188,-0.474135308946177
"V78",-2.14183222324557,-0.493084989640231
"V79",-2.14121064200003,-0.484978211570675
"V80",-2.16662696390363,-0.417705748129654
"V81",-1.92351934225004,-0.671051910454066
